YEAR,LOCATION,AREA,RAINFALL,TEMPERATURE,SOIL_TYPE,IRRIGATION,YEILDS,HUMIDITY,CROPS,PRICE,SEASON,YEAR_GROUP,RAINFALL_GROUP
2004,Raichur,4517,3296.26,27,Red,Basin,8954,57,Coconut,200000,Rabi,Y1,High
2004,Raichur,4614,3296.26,27,Red,Basin,42915,54,Coconut,4847,Rabi,Y1,High
2004,Raichur,4657,3875.08,27.2,Red,Basin,9230,54.5,Coconut,51239,Rabi,Y1,High
2004,Raichur,4765,3875.08,27.2,Red,Basin,44313,56.6,Coconut,216396,Rabi,Y1,High
2004,Raichur,4927,3875.08,27.2,Red,Basin,45820,55.5,Coconut,2644,Rabi,Y1,High
2004,Raichur,5278,4102.78,27,Red,Basin,49084,58.5,Coconut,44235,Rabi,Y1,High
2004,Raichur,6325,4102.78,27,Red,Basin,86311,59.5,Coconut,203317,Rabi,Y1,High
2004,Raichur,6663,4102.78,27,Red,Basin,57642,55,Coconut,2134,Rabi,Y1,High
2004,Raichur,29,3696,27.2,Red,Basin,114,56,Coconut,57259,Rabi,Y1,High
2004,Raichur,1,3696,27.2,Red,Basin,3,57,Coconut,234779,Rabi,Y1,High
2004,Raichur,27,3696,27.2,Red,Basin,95,57.5,Coconut,1493,Rabi,Y1,High
2004,Gulbarga,5,3965.94,27.1,Red,Basin,19,57,Coconut,64409,Rabi,Y1,High
2004,Gulbarga,14,3965.94,27.1,Red,Basin,54,55,Coconut,249978,Rabi,Y1,High
2004,Gulbarga,4,3965.94,27.1,Red,Basin,13,56,Coconut,200000,Rabi,Y1,High
2004,Gulbarga,35,3863.64,26.8,Red,Basin,123,54,Coconut,4847,Rabi,Y1,High
2004,Gulbarga,5,3863.64,26.8,Red,Basin,19,58,Coconut,51239,Rabi,Y1,High
2004,Gulbarga,11,3863.64,26.8,Red,Basin,32,58,Coconut,216396,Rabi,Y1,High
2004,Gulbarga,3,3625.6,37,Red,Basin,8,59,Coconut,2644,Rabi,Y1,High
2004,Gulbarga,15,3625.6,37,Black,Basin,50,50,Coconut,44235,Rabi,Y1,High
2004,Gulbarga,3,3625.6,37,Black,Basin,10,54,Coconut,203317,Rabi,Y1,High
2004,Gulbarga,8,3905,38,Black,Basin,29,53,Coconut,2134,Rabi,Y1,High
2004,Gulbarga,19,3905,38,Black,Basin,44,52,Coconut,45186,Rabi,Y1,High
2004,Gulbarga,10,3905,38,Black,Basin,33,51,Coconut,238542,Rabi,Y1,High
2004,Gulbarga,4,4019.4,39,Black,Basin,14,57,Coconut,1516,Rabi,Y1,High
2004,Gulbarga,14,4019.4,39,Black,Basin,56,57,Coconut,57259,Rabi,Y1,High
2004,Gulbarga,7,4019.4,39,Black,Basin,26,60,Coconut,234779,Rabi,Y1,High
2004,Gulbarga,13018,3415.5,42,Black,Basin,623687,58.5,Coconut,761,Zaid,Y1,High
2004,Gulbarga,13388,3415.5,42,Black,Basin,63504,59.5,Coconut,45608,Zaid,Y1,High
2004,Gulbarga,13478,3415.5,42,Black,Basin,63931,55,Coconut,234581,Zaid,Y1,High
2004,Gulbarga,13603,3193.41,27,Black,Spray,118416,53.5,Coconut,43562,Zaid,Y1,High
2004,Gulbarga,14602,3193.41,27,Black,Spray,130132,52.5,Coconut,200000,Zaid,Y1,High
2004,Gulbarga,15386,3193.41,27,Black,Spray,154889,56,Coconut,4847,Zaid,Y1,High
2004,Gulbarga,15761,3296.26,27,Black,Spray,171739,57,Coconut,51239,Zaid,Y1,High
2004,Gulbarga,15828,3296.26,27,Black,Spray,172475,57.5,Coconut,216396,Zaid,Y1,High
2004,Gulbarga,15994,3296.26,27,Black,Spray,177939,57,Coconut,2644,Zaid,Y1,High
2004,Gulbarga,16043,3875.08,27.2,Black,Spray,313547,55,Coconut,44235,Zaid,Y1,High
2004,Gulbarga,2832,3875.08,27.2,Black,Spray,2783,56,Coconut,203317,Zaid,Y1,High
2004,Gulbarga,2320,3875.08,27.2,Black,Spray,1533,54,Coconut,2134,Zaid,Y1,High
2004,Gulbarga,1432,4102.78,27,Black,Spray,1647,58,Coconut,45186,Zaid,Y1,High
2004,Gulbarga,1168,4102.78,27,Black,Spray,975,58,Coconut,238542,Zaid,Y1,High
2004,Gulbarga,4,4102.78,27,Black,Spray,2,59,Coconut,1516,Zaid,Y1,High
2004,Gulbarga,557,3696,27.2,Loam,Spray,770,52,Coconut,64409,Zaid,Y1,High
2004,Gulbarga,352,3696,27.2,Loam,Spray,395,51,Coconut,249978,Zaid,Y1,High
2004,Gulbarga,190,3696,27.2,Loam,Spray,187,57,Coconut,637,Zaid,Y1,High
2004,Gulbarga,138,3965.94,27.1,Loam,Spray,187,57,Coconut,43311,Zaid,Y1,High
2004,Gulbarga,100,3965.94,27.1,Loam,Spray,121,60,Coconut,24848,Zaid,Y1,High
2004,Gulbarga,68,3965.94,27.1,Loam,Spray,103,57,Coconut,761,Zaid,Y1,High
2004,Gulbarga,48,3863.64,26.8,Loam,Spray,71,57,Coconut,45608,Zaid,Y1,High
2004,Gulbarga,2419,3863.64,26.8,Loam,Spray,3961,54,Coconut,234581,Zaid,Y1,High
2004,Gulbarga,2080,3863.64,26.8,Loam,Spray,4247,54.5,Coconut,646,Zaid,Y1,High
2004,Gulbarga,1969,3625.6,37,Loam,Spray,3290,56.6,Coconut,43562,Zaid,Y1,High
2004,Gulbarga,1798,3625.6,37,Loam,Spray,3138,55.5,Coconut,200000,Zaid,Y1,High
2004,Gulbarga,1805,3625.6,37,Loam,Spray,3423,58.5,Coconut,4847,Zaid,Y1,High
2004,Gulbarga,1831,3905,38,Loam,Spray,3899,59.5,Coconut,51239,Zaid,Y1,High
2004,Gulbarga,1832,3905,38,Loam,Spray,4015,55,Coconut,216396,Zaid,Y1,High
2004,Gulbarga,1867,3905,38,Loam,Spray,4279,53,Coconut,2644,Zaid,Y1,High
2004,Gulbarga,1914,4019.4,39,Loam,Spray,4167,53.5,Coconut,44235,Zaid,Y1,High
2004,Gulbarga,1881,4019.4,39,Loam,Spray,4479,52.5,Coconut,203317,Zaid,Y1,High
2004,Gulbarga,1853,4019.4,39,Loam,Spray,3699,56,Coconut,2134,Zaid,Y1,High
2004,Gulbarga,366,3415.5,42,Red,Spray,71,58,Coconut,216396,Zaid,Y1,High
2004,Gulbarga,159,3415.5,42,Red,Spray,52,58,Coconut,2644,Zaid,Y1,High
2004,Gulbarga,46,3415.5,42,Red,Spray,12,59,Coconut,44235,Zaid,Y1,High
2006,Gulbarga,5377,3193.41,136,Red,Drip,2089,54,Coffee,637,Zaid,Y1,High
2007,Gulbarga,5968,3193.41,137,Red,Drip,2810,54.5,Coffee,43311,Zaid,Y1,High
2008,Gulbarga,6035,3193.41,138,Red,Drip,841,56.6,Coffee,24848,Zaid,Y1,High
2009,Gulbarga,5288,3296.26,139,Red,Drip,3550,55.5,Coffee,761,Zaid,Y1,High
2006,Gulbarga,1237,3696,151,Black,Drip,127919,56,Cardamum,2134,Zaid,Y1,High
2007,Gulbarga,840,3696,152,Black,Drip,75340,54,Cardamum,45186,Zaid,Y1,High
2008,Gulbarga,311,3696,153,Black,Drip,29170,58,Cardamum,238542,Zaid,Y1,High
2009,Gulbarga,26,3965.94,154,Black,Drip,1901,58,Cardamum,1516,Zaid,Y1,High
2004,Madikeri,38,3905,164,Black,Drip,3830,57,Pepper,45608,Kharif,Y1,High
2005,Madikeri,46061,3905,165,Black,Drip,4,57,Pepper,234581,Kharif,Y1,High
2006,Madikeri,421,4019.4,166,Black,Drip,9,54,Pepper,646,Kharif,Y1,High
2007,Madikeri,10657,4019.4,167,Black,Drip,12,54.5,Pepper,43562,Kharif,Y1,High
2008,Madikeri,45878,4019.4,168,Black,Drip,2089,56.6,Pepper,200000,Kharif,Y1,High
2005,Madikeri,46218,3193.41,180,Alluvial,Basin,1939,55,Arecanut,4847,Kharif,Y1,High
2006,Madikeri,128,3193.41,181,Alluvial,Basin,1871,56,Arecanut,51239,Kharif,Y1,High
2007,Madikeri,9455,3193.41,182,Alluvial,Basin,1868,54,Arecanut,216396,Kharif,Y1,High
2008,Madikeri,45936,3296.26,183,Alluvial,Basin,127919,58,Arecanut,2644,Kharif,Y1,High
2009,Madikeri,139,3296.26,184,Alluvial,Basin,75340,58,Arecanut,44235,Kharif,Y1,High
2004,Hassan,7415,3296.26,194,Alluvial,Basin,5518,57,Ginger,249978,Kharif,Y1,High
2005,Hassan,40107,3875.08,195,Alluvial,Basin,4912,57,Ginger,637,Kharif,Y1,High
2006,Hassan,86,3875.08,196,Alluvial,Basin,3830,54,Ginger,43311,Kharif,Y1,High
2007,Hassan,6254,3875.08,197,Sandy loam ,Basin,4,54.5,Ginger,24848,Kharif,Y1,High
2008,Hassan,40197,4102.78,198,Sandy loam ,Basin,9,56.6,Ginger,761,Kharif,Y1,High
2009,Hassan,99,4102.78,199,Sandy loam ,Basin,12,55.5,Ginger,45608,Kharif,Y1,High
2004,Hassan,4614,3965.94,209,Sandy loam ,Basin,2331,57,Tea,203317,Kharif,Y1,High
2005,Hassan,4657,3863.64,210,Sandy loam ,Basin,2088,55,Tea,2134,Kharif,Y1,High
2006,Hassan,4765,3863.64,211,Sandy loam ,Basin,2628,56,Tea,45186,Kharif,Y1,High
2007,Hassan,4927,3863.64,212,Sandy loam ,Basin,1939,54,Tea,238542,Kharif,Y1,High
2008,Hassan,5278,3625.6,213,Sandy loam ,Basin,1871,58,Tea,1516,Kharif,Y1,High
2009,Hassan,6325,3625.6,214,Sandy loam ,Basin,1868,58,Tea,57259,Kharif,Y1,High
2008,Hassan,3,3415.5,27.2,Red laterite,Spray,3830,56.6,Paddy,4847,Kharif,Y1,High
2009,Hassan,15,3415.5,27.2,Red laterite,Spray,313547,55.5,Paddy,51239,Kharif,Y1,High
2004,Hassan,12362,3875.08,27.2,Red laterite,Spray,395,57,Groundnut,4847,Kharif,Y1,High
2005,Hassan,12603,3875.08,27.1,Red laterite,Spray,187,55,Groundnut,51239,Kharif,Y1,High
2006,Hassan,12761,3875.08,27.1,Red laterite,Spray,187,56,Groundnut,216396,Kharif,Y1,High
2007,Hassan,12887,3193.41,27.1,Red laterite,Spray,121,54,Groundnut,2644,Kharif,Y1,High
2008,Hassan,13018,3193.41,26.8,Red laterite,Spray,103,58,Groundnut,44235,Kharif,Y1,High
2009,Hassan,13388,3193.41,26.8,Red laterite,Spray,71,58,Groundnut,203317,Kharif,Y1,High
2014,Gulbarga,219,4019.4,129,Red,Drip,62,52,Cocoa,238542,Zaid,Y2,High
2010,Gulbarga,293,3296.26,140,Red,Drip,109,58.5,Coffee,45608,Zaid,Y2,High
2011,Gulbarga,5823,3296.26,141,Red,Drip,3368,59.5,Coffee,234581,Zaid,Y2,High
2012,Gulbarga,6038,3875.08,142,Red,Drip,3671,55,Coffee,646,Zaid,Y2,High
2013,Gulbarga,5567,3875.08,143,Red,Drip,2404,53,Coffee,43562,Zaid,Y2,High
2014,Gulbarga,5853,3875.08,144,Red,Drip,2805,53.5,Coffee,200000,Zaid,Y2,High
2015,Gulbarga,4698,4102.78,145,Red,Drip,2331,52.5,Coffee,4847,Zaid,Y2,High
2010,Gulbarga,10,3965.94,155,Black,Drip,972,59,Cardamum,57259,Kharif,Y2,High
2011,Gulbarga,9,3965.94,156,Black,Drip,874,50,Cardamum,234779,Kharif,Y2,High
2012,Gulbarga,6,3863.64,157,Black,Drip,592,54,Cardamum,1493,Kharif,Y2,High
2013,Gulbarga,9,3863.64,158,Black,Drip,864,53,Cardamum,64409,Kharif,Y2,High
2014,Gulbarga,50,3863.64,159,Black,Drip,5373,52,Cardamum,249978,Kharif,Y2,High
2015,Gulbarga,61,3625.6,160,Black,Drip,6589,51,Cardamum,637,Kharif,Y2,High
2015,Madikeri,131,3415.5,175,Alluvial,Basin,2404,52.5,Pepper,2134,Kharif,Y2,High
2010,Madikeri,9286,3296.26,185,Alluvial,Basin,29170,59,Arecanut,203317,Kharif,Y2,High
2011,Madikeri,43275,3875.08,186,Alluvial,Basin,1901,50,Arecanut,2134,Kharif,Y2,High
2012,Madikeri,129,3875.08,187,Alluvial,Basin,972,54,Arecanut,45186,Kharif,Y2,High
2013,Madikeri,8355,3875.08,188,Alluvial,Basin,874,53,Arecanut,238542,Kharif,Y2,High
2014,Madikeri,42480,3193.41,189,Alluvial,Basin,592,52,Arecanut,1516,Kharif,Y2,High
2015,Madikeri,142,3193.41,190,Alluvial,Basin,864,51,Arecanut,57259,Kharif,Y2,High
2010,Hassan,6142,4102.78,200,Sandy loam ,Basin,2089,58.5,Ginger,234581,Kharif,Y2,High
2014,Hassan,3611,3696,204,Sandy loam ,Basin,109,53.5,Ginger,4847,Kharif,Y2,High
2015,Hassan,4389,3696,205,Sandy loam ,Basin,3368,52.5,Ginger,51239,Kharif,Y2,High
2010,Hassan,6663,3625.6,215,Sandy loam ,Spray,127919,59,Tea,234779,Kharif,Y2,High
2011,Hassan,6751,3905,216,Sandy loam ,Spray,75340,50,Tea,1493,Kharif,Y2,High
2012,Hassan,6943,3905,217,Sandy loam ,Spray,29170,54,Tea,64409,Kharif,Y2,High
2013,Hassan,7070,3905,218,Sandy loam ,Spray,1901,53,Tea,249978,Kharif,Y2,High
2014,Hassan,29,4019.4,219,Sandy loam ,Spray,972,52,Tea,637,Kharif,Y2,High
2015,Hassan,1,4019.4,220,Sandy loam ,Spray,874,51,Tea,43311,Kharif,Y2,High
2010,Hassan,3,3415.5,27.2,Red laterite,Spray,2783,58.5,Paddy,216396,Kharif,Y2,High
2013,Hassan,10,3193.41,27,Red laterite,Spray,975,53,Paddy,203317,Kharif,Y2,High
2014,Hassan,4,3193.41,27,Red laterite,Spray,2,53.5,Paddy,2134,Kharif,Y2,High
2015,Hassan,14,3193.41,27,Red laterite,Spray,836,52.5,Paddy,45186,Kharif,Y2,High
2010,Hassan,13478,3296.26,26.8,Red laterite,Spray,3961,59,Groundnut,2134,Kharif,Y2,High
2011,Hassan,13508,3296.26,37,Red laterite,Spray,4247,50,Groundnut,45186,Kharif,Y2,High
2012,Hassan,13603,3296.26,37,Black cotton,Spray,3290,54,Groundnut,238542,Kharif,Y2,High
2013,Hassan,14602,3875.08,37,Black cotton,Spray,3138,53,Groundnut,1516,Kharif,Y2,High
2014,Hassan,15386,3875.08,38,Black cotton,Spray,3423,52,Groundnut,57259,Kharif,Y2,High
2015,Hassan,15761,3875.08,38,Black cotton,Spray,3899,51,Groundnut,234779,Kharif,Y2,High
2017,Gulbarga,67,3415.5,132,Red,Drip,25,57,Cocoa,234779,Zaid,Y3,High
2016,Gulbarga,4209,4102.78,146,Red,Drip,2088,56,Coffee,51239,Zaid,Y3,High
2017,Gulbarga,4323,4102.78,147,Black,Drip,2628,57,Coffee,216396,Zaid,Y3,High
2016,Gulbarga,50,3625.6,161,Black,Drip,5107,57,Cardamum,43311,Kharif,Y3,High
2017,Gulbarga,59,3625.6,162,Black,Drip,5518,57,Cardamum,24848,Kharif,Y3,High
2018,Gulbarga,50,3905,163,Black,Drip,4912,60,Cardamum,761,Kharif,Y3,High
2016,Madikeri,9819,3415.5,176,Alluvial,Basin,2805,56,Pepper,45186,Kharif,Y3,High
2017,Madikeri,46220,3415.5,177,Alluvial,Basin,2331,57,Pepper,238542,Kharif,Y3,High
2016,Madikeri,8084,3193.41,191,Alluvial,Basin,5373,57,Arecanut,234779,Kharif,Y3,High
2017,Hassan,42291,3296.26,192,Alluvial,Basin,6589,57,Arecanut,1493,Kharif,Y3,High
2018,Hassan,93,3296.26,193,Alluvial,Basin,5107,60,Arecanut,64409,Kharif,Y3,High
2016,Hassan,4437,3696,206,Sandy loam ,Basin,3671,56,Ginger,216396,Kharif,Y3,High
2017,Hassan,4459,3965.94,207,Sandy loam ,Basin,2404,57,Ginger,2644,Kharif,Y3,High
2018,Hassan,4517,3965.94,208,Sandy loam ,Basin,2805,57.5,Ginger,44235,Kharif,Y3,High
2016,Hassan,27,4019.4,221,Sandy loam ,Spray,592,57,Tea,24848,Kharif,Y3,High
2016,Hassan,7,3296.26,27,Red laterite,Spray,806,56,Paddy,238542,Kharif,Y3,High
2017,Hassan,26,3296.26,27.2,Red laterite,Spray,880,57,Paddy,1516,Kharif,Y3,High
2018,Hassan,1,3296.26,27.2,Red laterite,Spray,770,57.5,Paddy,200000,Kharif,Y3,High
2016,Hassan,15828,4102.78,38,Black cotton,Spray,4015,57,Groundnut,1493,Kharif,Y3,High
2017,Hassan,15994,4102.78,39,Black cotton,Spray,4279,57,Groundnut,64409,Kharif,Y3,High
2004,Hassan,2832,3020.82,39,Black cotton,Spray,4479,57,Blackgram,637,Kharif,Y1,Medium
2005,Hassan,2320,3020.82,40,Black cotton,Spray,3699,57,Blackgram,43311,Kharif,Y1,Medium
2006,Hassan,1432,3020.82,40,Black cotton,Spray,4904,54,Blackgram,24848,Kharif,Y1,Medium
2008,Mangalore,159,3020.82,27.2,Laterite,Drip,792,52,Coconut,234779,Kharif,Y1,Medium
2009,Mangalore,9651,3020.82,27.2,Laterite,Drip,34153,51,Coconut,1493,Kharif,Y1,Medium
2008,Kasaragodu,13508,3020.82,130,Clay loam,Spray,12,59,Coconut,44235,Kharif,Y1,Medium
2009,Kasaragodu,13603,3020.82,131,Clay loam,Spray,51,50,Coconut,203317,Kharif,Y1,Medium
2004,Madikeri,46061,3020.82,212,Arid and Desert,Basin,2404,57,Ginger,2644,Kharif,Y1,Medium
2004,Chikmangaluru,99,3020.82,37,Clay loam,Spray,187,56,Groundnut,216396,Kharif,Y1,Medium
